Attempts,IP_Change,Request_Frequency,User_Agent_Diversity,Key_Length,Error_Code_Frequency,Attack
11,1,3.72,9,256,0,0
9,0,0.43,2,256,2,0
8,0,11.19,7,512,7,0
13,0,1.2,4,128,4,0
7,0,4.17,2,1024,1,0
7,0,1.79,7,128,3,0
11,0,1.03,6,128,0,0
10,0,0.26,4,128,2,0
5,0,11.66,3,128,3,1
17,0,4.31,7,1024,1,0
8,0,8.81,4,512,1,0
13,0,1.14,4,256,0,0
13,1,0.64,1,256,1,0
14,0,1.02,3,512,3,0
10,0,2.54,2,512,1,0
8,0,5.82,5,256,1,0
15,1,7.33,8,128,4,1
5,0,2.59,9,512,4,0
8,0,4.48,3,1024,4,0
8,0,0.5,9,512,0,0
10,1,9.97,9,256,1,1
11,0,17.03,6,256,3,0
17,0,1.66,1,128,2,0
12,0,2.78,8,512,1,0
14,0,6.59,3,256,4,0
10,1,7.85,3,1024,0,1
11,0,13.36,8,512,2,0
12,0,0.52,4,128,3,0
15,0,9.43,1,128,1,1
7,0,0.5,2,256,4,0
10,0,2.54,9,128,1,0
14,1,2.08,1,256,0,0
12,1,1.55,2,1024,0,0
8,0,2.39,5,128,0,0
10,1,0.84,4,512,4,1
7,1,0.55,3,256,1,1
12,0,28.42,7,1024,1,0
7,0,6.13,1,256,2,0
13,0,6.5,5,512,1,0
10,0,7.86,8,1024,3,0
13,0,6.02,8,128,0,1
15,0,0.74,6,128,0,0
7,1,4.89,5,1024,1,0
8,0,2.51,7,1024,2,0
8,0,8.15,2,512,3,0
11,1,0.08,9,128,0,1
9,1,6.97,2,512,4,1
13,1,0.59,8,1024,3,0
7,0,6.69,4,256,1,0
16,0,14.53,5,512,2,0
13,1,10.72,9,128,3,1
8,0,1.88,5,128,1,0
15,0,0.36,5,512,1,0
5,0,5.39,7,128,2,0
6,1,0.23,3,256,2,0
7,0,2.6,4,512,2,0
12,0,1.72,7,128,1,0
8,0,2.76,1,1024,3,0
10,0,1.86,6,256,1,0
9,0,16.48,4,256,0,0
9,0,3.92,4,512,4,0
15,1,0.5,5,256,1,0
9,0,0.41,5,1024,5,0
12,1,4.78,1,128,4,1
4,1,2.45,4,1024,2,1
7,1,15.76,3,128,3,1
13,0,13.15,1,256,0,0
5,0,2.86,6,256,3,0
8,0,0.02,3,1024,0,0
5,0,3.67,6,128,0,0
9,1,0.22,8,1024,2,0
10,0,21.47,7,256,0,0
11,0,14.24,5,128,4,0
7,1,1.11,3,128,4,1
18,0,11.83,9,1024,3,0
13,0,0.77,9,1024,0,0
11,0,2.13,3,128,1,0
7,0,0.58,1,512,5,0
7,0,1.38,3,256,1,0
9,1,0.05,9,512,2,0
13,0,1.52,3,128,1,0
17,0,0.05,7,512,1,0
11,1,8.07,1,256,2,1
11,0,16.07,9,256,2,0
11,0,3.01,3,128,3,0
5,0,11.55,7,512,0,0
10,1,10.45,6,1024,2,1
11,0,4.01,2,128,3,0
8,1,0.43,2,256,0,0
5,0,6.13,3,1024,1,0
10,0,2.37,5,128,3,0
15,0,8.61,9,1024,2,0
9,0,3.55,7,128,2,0
12,0,1.79,4,512,3,0
8,0,1.22,2,512,1,0
7,0,3.23,7,128,2,0
5,1,4.72,7,512,5,0
9,1,1.17,3,1024,6,0
15,0,5.47,9,1024,2,0
8,0,0.28,2,1024,5,0
19,1,1.97,4,1024,2,0
7,0,7.09,2,512,1,0
12,0,11.96,6,128,5,1
14,0,3.3,6,512,1,0
10,0,8.4,1,1024,2,0
9,0,0.45,6,1024,4,0
10,1,3.86,8,512,1,0
6,0,19.03,2,256,1,0
9,0,5.04,2,512,1,0
9,1,2.57,6,1024,6,1
9,1,4.54,3,512,3,0
13,1,6.24,2,1024,2,1
12,0,1.93,5,512,3,0
13,0,14.65,3,1024,1,0
8,0,7.11,8,1024,2,0
9,0,1.42,5,1024,0,0
11,0,15.76,6,1024,0,0
4,0,4.9,5,128,3,0
15,0,12.35,4,1024,1,0
7,0,4.02,6,512,1,0
8,1,6.73,3,128,0,1
9,0,0.37,7,1024,2,0
10,1,2.08,6,512,0,0
10,0,6.17,9,512,1,0
9,0,0.35,7,128,1,0
10,1,5.03,5,512,2,0
7,0,1.03,3,128,4,0
11,1,2.11,6,1024,2,0
10,0,0.42,6,1024,1,0
9,0,11.85,7,128,1,1
8,1,3.75,7,512,1,0
11,1,23.66,1,512,1,1
7,0,0.49,6,1024,1,0
17,0,0.25,8,1024,2,0
10,0,14.34,1,128,6,1
10,1,8.59,1,512,2,1
11,0,0.68,5,1024,3,0
12,1,5.11,7,128,4,1
5,0,4.98,2,512,1,0
8,0,4.64,8,128,1,0
10,1,1.77,3,1024,1,0
8,0,0.36,6,1024,2,0
11,0,10.61,5,512,2,0
11,0,7.78,5,128,1,0
7,1,8.65,5,128,2,1
12,0,5.17,1,128,0,0
11,0,16.58,7,512,1,0
11,0,0.28,5,512,3,0
9,1,1.1,1,128,3,1
8,1,0.15,1,512,3,1
9,0,5.15,9,256,2,0
3,0,6.46,3,256,1,0
8,1,3.09,6,512,2,0
12,0,0.24,3,1024,3,0
16,0,9.77,1,1024,1,1
6,0,0.14,1,1024,0,0
12,0,8.37,1,128,1,1
12,0,1.89,8,128,1,0
4,0,2.55,8,1024,1,0
12,1,5.04,9,256,1,0
13,0,5.95,4,256,3,0
12,0,1.66,8,256,0,0
7,1,7.69,6,1024,3,1
6,0,4.8,3,128,5,0
11,0,3.26,8,512,0,0
5,0,0.63,4,512,2,0
13,0,0.25,7,128,0,0
5,0,1.43,1,128,2,0
12,1,6.21,2,1024,3,1
6,0,6.59,2,128,3,1
12,0,0.17,8,128,0,0
11,0,3.23,8,512,0,0
10,0,2.34,9,128,3,1
8,0,5.88,7,256,1,0
6,1,0.46,7,256,3,0
3,1,2.09,8,256,1,0
12,0,3.18,9,1024,1,0
10,1,6.54,2,128,1,1
7,0,19.5,4,512,1,0
8,1,8.34,2,128,1,1
6,1,2.03,1,256,4,0
5,0,1.23,3,512,3,0
10,1,0.44,4,256,3,1
6,0,4.23,4,1024,2,0
10,0,18.86,7,128,3,1
13,0,2.04,2,512,4,0
6,1,2.01,3,128,2,1
12,1,3.0,5,1024,2,0
12,0,12.32,2,128,2,0
6,1,5.93,6,1024,0,0
9,0,3.53,7,1024,1,0
5,0,2.16,9,1024,3,0
10,0,5.68,3,256,0,0
11,0,0.45,3,256,2,0
16,1,0.66,7,256,0,0
11,0,13.46,7,1024,1,0
9,0,4.2,9,128,3,0
10,0,2.61,2,512,0,0
8,0,0.64,2,256,3,0
7,1,34.24,3,1024,4,1
9,1,4.43,7,512,1,1
12,1,20.62,5,1024,3,1
4,1,1.51,8,1024,3,1
8,0,0.21,1,128,3,1
4,0,9.64,5,512,2,0
5,0,1.8,6,512,0,0
8,0,0.73,7,1024,2,0
13,0,13.26,5,512,1,0
12,1,7.96,5,256,2,1
6,0,2.55,7,512,3,0
9,0,3.25,1,1024,2,0
13,0,10.27,2,128,1,0
18,0,4.63,5,256,1,0
11,1,0.79,5,256,1,1
12,0,3.53,5,256,4,0
9,1,9.78,9,128,3,1
7,0,2.89,3,1024,1,0
14,1,8.54,6,128,2,1
10,0,0.22,5,1024,3,0
8,0,4.97,5,128,5,0
12,0,6.23,6,256,2,0
13,0,0.41,8,1024,2,0
7,0,2.72,2,128,2,0
8,0,1.44,4,128,0,0
7,0,8.43,4,512,1,0
10,1,3.01,2,256,2,0
9,0,2.69,1,128,0,0
6,0,5.62,3,128,2,0
6,0,5.68,9,1024,1,0
6,0,7.62,3,256,7,0
17,0,3.46,7,128,0,0
13,0,0.72,3,1024,5,0
9,0,10.46,4,512,2,0
6,0,1.99,4,1024,0,0
11,0,12.83,2,512,1,0
10,0,11.98,8,1024,1,0
8,0,0.72,5,1024,4,0
10,0,2.81,7,512,0,0
10,0,0.83,3,1024,2,0
14,0,6.25,5,128,2,1
5,1,4.33,8,128,0,1
16,0,9.77,2,256,1,0
9,0,12.8,5,512,3,0
14,0,4.65,6,512,2,0
8,0,3.28,3,1024,1,0
6,0,21.56,5,512,1,0
12,1,0.65,2,128,2,1
7,0,2.88,5,128,0,0
8,0,0.23,9,512,4,0
6,0,8.76,1,128,1,0
7,0,8.12,5,128,2,1
12,0,2.41,1,256,2,0
9,0,4.2,7,128,0,0
12,0,7.47,8,1024,1,0
5,1,7.64,9,128,2,1
17,0,1.11,1,128,3,0
14,0,0.41,8,128,5,0
15,0,1.87,5,128,1,0
8,0,5.16,5,256,2,0
11,1,4.63,7,1024,3,0
12,0,1.67,6,512,1,0
15,0,2.07,1,512,2,0
8,1,11.11,8,256,2,1
17,0,0.17,2,128,3,0
8,0,34.09,9,256,2,0
7,0,10.42,7,128,2,0
17,0,3.14,9,128,0,0
11,1,1.07,8,256,6,1
10,1,3.23,6,1024,2,0
12,0,2.93,4,1024,2,0
11,0,3.55,4,512,1,0
14,1,6.67,6,1024,1,1
16,1,17.28,9,128,2,1
9,0,0.47,5,256,3,0
11,0,0.32,4,512,4,0
9,0,0.2,1,512,2,0
15,0,1.99,4,256,1,0
10,0,0.4,3,1024,2,0
8,0,0.93,5,256,1,0
13,0,3.08,9,512,2,0
11,0,2.86,6,512,0,0
8,1,1.22,2,512,3,1
6,1,2.41,4,512,5,0
13,1,0.59,5,256,1,0
6,0,0.75,3,256,2,0
12,0,4.52,2,512,4,0
10,0,2.32,6,512,1,0
5,0,1.26,7,512,0,0
9,0,0.63,7,256,4,0
11,1,3.61,5,512,1,0
8,0,2.63,4,256,2,0
8,0,7.89,3,1024,4,1
13,1,10.33,7,512,2,1
3,1,4.09,8,128,1,1
12,0,2.63,1,512,1,0
6,1,0.62,8,256,2,0
12,1,8.23,9,128,0,1
2,0,0.35,3,256,3,0
10,1,1.68,6,256,0,0
9,0,5.69,2,512,0,0
9,0,0.86,8,512,0,0
10,1,0.7,2,128,1,1
11,1,0.09,3,256,2,0
10,1,0.51,8,512,4,0
11,0,5.79,4,256,3,0
5,0,2.42,5,128,1,0
7,0,1.32,6,256,5,0
16,0,0.51,6,512,1,0
11,0,0.98,3,1024,2,0
6,1,4.01,7,256,2,0
12,0,1.62,2,256,2,0
7,0,1.83,5,1024,1,0
16,0,3.15,4,512,2,0
10,0,0.26,7,128,2,0
15,1,3.98,8,256,3,1
10,0,14.38,3,256,3,0
3,0,3.55,5,128,2,0
14,1,14.95,3,512,2,1
7,0,1.11,4,1024,1,0
8,1,2.4,6,1024,1,0
10,0,1.03,6,1024,2,0
9,0,2.24,6,128,2,0
17,0,6.23,1,256,2,0
11,0,1.27,3,512,3,0
14,0,1.96,8,512,1,0
8,0,0.63,4,128,4,0
5,0,9.43,9,128,4,1
11,1,1.59,4,256,1,0
11,0,6.23,7,512,4,0
11,0,4.29,1,128,1,0
8,1,20.62,6,128,2,1
8,0,2.58,9,1024,0,0
13,0,0.82,2,512,1,0
4,1,3.64,3,256,2,0
6,1,2.81,9,512,4,1
11,0,7.59,1,1024,3,0
8,0,0.86,3,256,3,0
8,1,4.14,6,128,1,1
13,1,4.28,1,256,0,0
8,1,1.91,8,128,6,1
9,0,1.23,7,256,0,0
12,1,2.55,7,512,0,0
10,0,3.48,9,256,3,0
12,0,12.77,6,1024,4,0
7,0,1.07,6,256,3,0
8,0,10.79,4,1024,4,1
10,1,7.77,9,128,3,1
11,1,5.96,9,1024,1,0
7,0,4.19,3,256,4,0
6,0,4.53,7,512,4,0
6,0,3.73,1,1024,0,0
9,0,1.77,5,256,0,0
8,0,6.13,4,256,2,0
10,0,6.96,2,256,1,0
10,0,1.63,6,128,4,0
10,0,6.18,5,128,3,1
9,1,10.39,6,128,3,1
13,0,4.61,7,256,2,0
9,0,0.88,9,512,3,0
4,0,13.16,7,256,1,0
7,1,4.6,2,1024,2,1
12,0,1.59,6,512,2,0
12,1,8.11,9,256,1,1
10,0,9.43,6,128,3,1
9,1,0.21,9,128,2,1
12,0,2.7,3,1024,0,0
6,0,9.88,5,128,2,0
8,0,2.69,9,1024,1,0
12,0,5.02,9,256,4,0
9,1,2.87,4,256,5,1
7,0,3.45,4,128,0,0
13,0,2.63,5,1024,1,0
11,0,10.13,6,256,1,0
7,0,1.21,6,128,8,0
13,0,0.62,8,512,4,0
17,1,4.67,5,1024,1,1
8,0,7.67,5,1024,1,0
14,0,2.13,1,1024,3,0
14,0,11.94,4,1024,5,0
19,0,1.26,5,1024,0,0
14,0,5.6,3,128,0,0
11,0,5.64,4,1024,2,0
6,0,1.74,2,1024,1,0
9,0,1.83,4,128,2,0
12,0,4.19,7,128,2,0
10,1,2.65,9,256,3,1
10,0,0.67,4,1024,2,0
4,0,0.32,2,512,3,0
5,1,0.61,2,256,0,0
11,0,2.56,9,256,1,0
9,0,2.9,9,1024,1,0
11,0,2.63,8,512,4,0
12,1,5.18,2,512,1,0
7,0,3.9,5,128,2,0
13,0,1.22,3,256,1,0
8,0,16.91,6,512,3,0
8,1,0.37,2,1024,2,0
7,0,7.78,9,128,1,0
14,1,10.57,8,1024,2,1
10,0,3.83,6,1024,1,0
11,0,1.89,1,512,2,0
13,0,1.14,7,1024,4,0
8,0,0.65,1,512,3,0
10,0,9.18,1,128,2,0
9,0,11.86,2,1024,1,0
14,0,1.02,7,512,2,0
11,0,1.28,3,512,0,0
10,0,0.61,6,128,2,0
16,1,14.84,1,512,2,1
6,0,0.53,6,128,8,0
7,0,13.4,6,512,0,0
9,1,2.05,1,128,2,1
8,1,7.76,5,256,1,1
4,0,0.31,6,512,2,0
8,1,1.96,8,256,4,1
16,1,2.4,4,1024,5,0
6,0,0.76,2,1024,0,0
6,0,8.85,1,256,3,1
8,1,10.5,1,256,1,1
9,1,1.71,2,512,5,1
6,1,8.21,4,512,1,1
5,1,2.4,3,512,1,0
6,1,1.24,4,1024,0,0
17,0,8.19,2,512,3,0
7,0,3.17,3,128,4,0
12,1,7.98,4,512,3,1
8,0,33.8,6,512,2,0
4,0,0.99,3,128,0,0
8,0,9.32,5,128,2,1
7,0,4.31,1,128,1,0
8,0,9.76,9,256,2,0
6,0,3.05,8,128,1,0
11,0,4.87,2,128,1,0
11,1,4.13,9,128,0,1
6,1,1.89,5,128,1,1
6,1,7.88,4,512,0,1
7,0,7.62,9,1024,0,0
7,0,2.08,9,1024,4,0
7,1,0.6,3,512,1,0
8,1,2.09,3,256,1,0
9,0,2.89,1,256,3,0
7,0,1.66,1,1024,2,0
16,0,2.64,7,256,5,0
11,0,0.8,6,256,2,0
13,0,1.95,6,512,2,0
5,0,7.22,6,128,1,0
10,1,0.9,4,128,3,1
14,0,0.46,9,1024,2,0
7,0,2.74,9,512,5,0
12,0,3.27,2,256,2,0
12,0,8.07,4,256,3,0
9,1,10.62,6,256,2,1
19,1,1.39,1,256,2,0
10,0,4.11,9,128,0,0
10,0,4.24,4,128,1,0
13,0,1.25,1,128,3,0
21,0,0.22,5,256,2,0
14,0,3.31,5,1024,1,0
3,1,31.12,8,1024,1,1
9,0,1.45,3,128,3,0
9,0,0.4,6,256,3,0
12,0,9.85,6,256,3,0
23,0,2.67,8,1024,3,0
9,0,8.6,8,128,2,1
12,1,3.38,9,1024,1,0
14,0,2.78,2,512,4,0
7,0,3.02,4,1024,3,0
13,1,9.4,8,512,1,1
13,0,17.59,1,128,3,1
6,0,4.0,7,128,2,0
12,0,11.29,5,1024,3,0
11,0,2.37,6,128,2,0
10,1,6.55,4,256,4,1
12,0,0.44,5,128,0,0
11,0,2.39,8,256,3,0
8,0,0.69,6,512,3,0
9,1,0.89,6,256,3,1
11,0,0.11,6,512,2,0
7,0,9.04,4,1024,6,0
6,0,7.03,7,512,5,1
5,0,7.31,7,128,2,0
11,0,1.04,7,512,3,0
15,1,3.81,5,256,4,1
7,1,4.16,1,256,4,1
4,0,1.95,7,128,0,0
9,0,6.8,3,512,1,0
6,0,3.18,8,1024,1,0
15,0,3.96,7,128,4,0
8,1,1.63,2,256,2,0
9,0,6.21,1,1024,2,0
13,1,2.71,9,128,2,1
12,0,4.52,8,1024,1,0
12,0,11.42,2,256,2,0
12,1,0.76,6,128,5,1
9,0,18.25,1,128,3,1
12,0,4.91,2,1024,2,0
10,0,6.63,6,128,0,1
6,0,4.9,6,128,2,0
11,0,0.63,8,1024,4,0
13,0,0.83,8,512,1,0
12,1,0.88,3,512,2,0
16,1,1.39,5,512,1,0
6,1,1.57,3,512,2,1
7,1,2.07,4,256,3,0
7,1,2.51,7,256,3,0
11,0,3.78,3,256,2,0
11,1,4.73,2,512,2,0
7,1,12.84,8,256,0,1
16,0,1.45,2,128,2,0
9,1,6.79,1,128,0,1
7,0,0.91,4,256,1,0
11,1,17.25,4,1024,0,1
10,0,9.83,4,256,2,0
13,0,7.23,7,256,2,0
16,0,7.4,3,512,0,0
6,0,25.45,4,512,2,0
11,1,1.13,1,128,1,1
12,0,0.72,9,512,3,0
5,0,13.02,6,128,2,1
8,0,1.98,4,128,5,0
11,0,2.61,8,1024,2,0
7,0,6.47,5,1024,3,0
13,1,0.01,3,1024,0,0
13,0,3.52,6,256,3,0
12,1,7.31,7,128,2,1
13,0,6.33,8,1024,2,0
18,1,0.38,2,512,2,0
6,1,5.59,6,1024,1,0
11,0,1.42,7,256,0,0
9,0,3.02,7,1024,4,0
9,1,22.47,3,128,1,1
8,1,0.78,3,128,5,1
13,0,6.22,4,256,0,0
11,1,2.88,6,256,2,0
11,0,12.99,1,128,2,1
10,0,3.14,2,256,1,0
13,1,3.18,2,256,1,0
9,0,9.45,1,256,1,0
7,0,3.11,1,256,2,0
9,0,3.72,6,128,0,0
15,1,1.73,3,256,0,1
8,1,10.94,4,1024,2,1
12,0,0.0,8,256,2,0
10,0,15.88,2,1024,1,0
12,0,1.28,3,512,3,0
9,0,3.67,5,512,1,0
6,0,5.63,6,128,1,0
8,1,1.35,9,128,1,1
9,1,5.21,9,512,0,0
13,0,35.76,3,128,2,0
12,1,1.28,9,512,2,0
11,1,4.41,9,128,2,1
7,0,11.45,8,1024,0,0
3,1,4.36,9,1024,2,0
14,0,7.19,2,128,1,1
10,1,1.8,4,128,1,1
10,0,19.75,8,1024,3,0
12,1,3.05,4,512,5,1
9,0,5.87,6,256,3,0
9,0,11.87,5,512,2,0
5,0,0.81,4,1024,3,0
8,0,1.88,8,256,2,0
13,1,0.07,3,128,0,1
14,0,1.58,9,512,0,0
11,0,0.32,4,256,1,0
12,0,0.98,1,128,4,0
7,1,11.92,3,512,1,1
12,0,16.9,9,512,2,0
10,0,0.49,4,256,3,0
10,0,3.2,5,1024,2,0
14,1,12.56,3,512,2,1
10,0,0.51,3,1024,0,0
12,0,4.86,8,512,0,0
11,0,12.85,9,1024,0,0
8,1,2.13,3,256,2,0
7,0,3.48,4,256,4,0
8,0,5.23,1,512,2,0
8,1,5.18,5,1024,1,1
6,0,1.17,8,1024,2,0
15,0,3.48,1,128,2,0
4,1,4.83,8,256,3,1
14,0,17.83,2,512,1,0
8,1,5.07,2,128,0,1
10,0,1.84,9,512,1,0
9,0,2.01,2,1024,1,0
8,0,12.68,7,128,2,1
7,0,6.57,5,1024,2,0
5,0,1.4,2,256,2,0
9,1,1.13,9,1024,3,1
13,0,1.99,7,512,3,0
8,0,15.86,6,256,0,0
7,0,0.56,8,256,3,0
5,0,2.17,6,1024,5,0
6,1,1.64,3,512,3,1
17,0,3.04,3,256,1,0
8,1,7.83,5,1024,0,1
9,1,14.62,4,1024,2,1
10,0,0.41,9,128,0,0
7,0,2.35,2,128,1,0
11,0,9.46,6,512,2,0
10,0,0.45,7,1024,0,0
16,1,6.96,1,512,3,1
8,0,0.53,6,1024,2,0
8,0,7.68,3,128,4,1
6,0,23.48,8,256,4,0
4,0,7.32,3,512,1,0
7,0,11.45,4,1024,0,0
10,1,8.5,4,256,0,1
11,1,0.75,1,1024,1,0
14,0,3.21,2,128,3,0
10,1,1.25,6,1024,1,0
6,0,4.94,6,128,4,0
14,0,1.27,3,1024,0,0
13,1,0.12,7,128,3,1
9,0,6.37,3,256,1,0
12,1,6.07,2,256,2,1
9,0,14.3,5,128,2,1
